popularity,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence
65,0.849,0.649,246400,0.468,0.00706,0.106,-10.951,0.0447,92.489,0.618
61,0.856,0.531,197333,0.352,9.73E-06,0.0871,-10.404,0.315,84.475,0.537
61,0.725,0.324,172240,0.493,0.000111,0.116,-9.995,0.0723,86.126,0.212
55,0.186,0.514,161239,0.613,0,0.284,-6.506,0.212,111.913,0.439
62,0.748,0.688,144000,0.425,0.00548,0.101,-8.134,0.027,129.975,0.179
67,0.064,0.599,198653,0.635,0,0.0878,-8.101,0.0679,109.919,0.194
65,0.0308,0.684,214254,0.526,0,0.306,-4.982,0.0335,91.812,0.495
60,0.161,0.506,169756,0.807,0,0.114,-3.96,0.249,163.239,0.394
68,0.591,0.488,210293,0.762,0,0.0763,-3.842,0.0865,123.889,0.709
66,0.0322,0.616,377467,0.78,0,0.173,-6.062,0.0623,110.005,0.471
66,0.236,0.643,205347,0.695,0,0.145,-3.099,0.0463,123.026,0.65
60,0.228,0.558,271813,0.522,0,0.104,-5.857,0.036,83.977,0.228
62,0.472,0.631,179293,0.319,0,0.303,-13.056,0.315,80.048,0.345
67,0.182,0.828,233360,0.792,0,0.281,-5.435,0.179,134.199,0.777
71,0.0358,0.596,204013,0.851,3.19E-05,0.365,-4.245,0.121,202.049,0.612
62,0.0339,0.712,196755,0.846,0.000384,0.106,-6.714,0.0538,120.016,0.573
64,0.00541,0.538,214200,0.677,0,0.236,-6.099,0.187,132.346,0.913
63,0.176,0.618,242773,0.552,0,0.252,-6.863,0.0981,81.975,0.586
68,0.265,0.622,220853,0.503,0.000473,0.0596,-6.417,0.0433,93.984,0.58
65,0.364,0.71,195867,0.572,0,0.129,-7.187,0.0616,140.052,0.642
66,0.277,0.516,218627,0.484,0,0.129,-5.844,0.0659,113.134,0.174
63,0.00648,0.577,251893,0.625,0,0.364,-8.346,0.0423,120.133,0.184
53,0.000582,0.604,211861,0.577,0,0.102,-7.647,0.243,120.033,0.315
64,0.0716,0.71,217813,0.71,1.07E-06,0.206,-2.474,0.0579,169.944,0.7
61,0.257,0.686,233266,0.701,0.00281,0.088,-5.702,0.0968,173.994,0.605
68,0.0586,0.845,211200,0.467,0,0.0694,-7.674,0.138,138.007,0.702
67,0.21,0.503,233601,0.581,0.000708,0.257,-7.007,0.0881,94.555,0.633
68,0.028,0.743,218460,0.793,0,0.157,-3.864,0.0388,120.897,0.851
64,0.254,0.657,218253,0.497,0,0.367,-7.689,0.112,106.049,0.594
63,0.258,0.702,213445,0.705,5.93E-06,0.0879,-6.666,0.0543,154.911,0.743
60,0.449,0.714,154983,0.348,0,0.323,-11.319,0.147,117.312,0.205
62,0.855,0.688,176327,0.261,1.25E-06,0.137,-15.271,0.325,146.975,0.326
72,0.0646,0.867,162586,0.545,0.000289,0.0505,-5.192,0.0625,139.943,0.525
61,0.112,0.527,251497,0.543,1.71E-06,0.355,-4.996,0.0589,106.706,0.397
60,0.717,0.649,195254,0.646,1.84E-05,0.0931,-6.051,0.0438,117.953,0.528
71,0.0165,0.668,192200,0.718,0,0.104,-4.736,0.0605,91.993,0.345
65,0.886,0.413,289600,0.349,0.000195,0.091,-10.361,0.0628,139.274,0.148
53,0.0871,0.51,147376,0.626,0,0.263,-6.15,0.332,80.795,0.516
67,0.388,0.644,201422,0.601,0,0.0884,-5.097,0.0496,133.946,0.518
66,0.0116,0.77,163133,0.426,0,0.273,-5.717,0.0473,102.056,0.523
68,0.47,0.583,226906,0.677,0.193,0.43,-10.21,0.439,176.119,0.495
66,0.418,0.469,321027,0.417,0.000189,0.102,-10.614,0.0704,120.012,0.175
62,0.19,0.736,215385,0.643,0,0.106,-8.636,0.0461,156.002,0.599
61,0.779,0.276,175453,0.358,2.50E-06,0.0728,-7.684,0.0443,81.977,0.13
66,0.0424,0.647,201253,0.646,0,0.0888,-5.483,0.243,92.981,0.721
0,0.0103,0.651,128240,0.484,0.00022,0.337,-6.512,0.0676,172.735,0.892
0,0.647,0.32,242627,0.371,2.51E-06,0.0981,-9.057,0.0448,78.643,0.235
0,0.993,0.405,176907,0.0775,0.00304,0.139,-18.145,0.0414,81.814,0.355
0,0.959,0.495,138387,0.23,0.000207,0.108,-16.153,0.034,132.694,0.615
0,0.88,0.142,1029560,0.13,0.655,0.239,-20.735,0.0424,75.531,0.0759
9,0.502,0.379,174693,0.368,0,0.0608,-11.6,0.0305,132.693,0.252
0,0.977,0.373,18800,0.0481,0.00112,0.0744,-16.57,0.0929,79.478,0
3,0.602,0.378,296280,0.378,0.162,0.0972,-13.175,0.0291,172.151,0.275
0,0.99,0.206,170107,0.196,0.0452,0.117,-13.97,0.0371,82.293,0.0986
2,0.317,0.574,176280,0.439,0,0.488,-12.247,0.873,164.93,0.574
0,0.445,0.505,492627,0.504,0,0.0945,-4.107,0.0309,143.566,0.36
0,0.533,0.522,209960,0.431,0,0.117,-8.735,0.0243,96.047,0.0977
2,0.939,0.192,294667,0.0923,0.912,0.148,-22.977,0.0389,107.308,0.039
13,0.221,0.739,231440,0.916,0,0.177,-6.327,0.308,101.882,0.69
0,0.879,0.751,193760,0.158,0,0.124,-21.678,0.896,97.606,0.66
3,0.903,0.394,457747,0.279,0.881,0.0549,-13.649,0.0405,77.565,0.259
0,0.992,0.509,157347,0.0133,0.0119,0.121,-24.515,0.058,73.159,0.151
0,0.28,0.756,192278,0.575,0,0.0779,-7.559,0.0274,106.051,0.757
0,0.976,0.302,174840,0.146,8.94E-06,0.118,-17.752,0.0391,77.077,0.159
0,0.126,0.492,251320,0.686,0.000191,0.504,-4.075,0.0306,129.814,0.528
0,0.592,0.689,172907,0.615,0,0.345,-7.409,0.303,123.14,0.555
0,0.992,0.522,29200,0.117,0.981,0.131,-22.993,0.0793,110.624,0.911
2,0.974,0.271,216840,0.182,0.0873,0.298,-15.927,0.0393,76.749,0.263
0,0.994,0.485,105253,0.124,0,0.107,-15.088,0.041,118.422,0.441
2,0.952,0.306,235915,0.435,2.29E-05,0.129,-7.906,0.0316,159.204,0.236
0,0.247,0.538,332417,0.272,0,0.225,-17.01,0.762,75.267,0.451
13,0.591,0.601,161507,0.521,0,0.309,-8.439,0.178,79.591,0.858
0,0.0575,0.577,21667,0.403,0,0.317,-21.688,0.85,113.777,0.967
0,0.8,0.547,115680,0.366,0,0.0928,-7.005,0.0323,61.884,0.568
0,0.616,0.686,91301,0.221,0,0.143,-17.351,0.87,130.553,0.58
23,0.316,0.644,169533,0.851,0,0.373,-8.516,0.0297,136.98,0.919
4,0.219,0.362,186000,0.412,0,0.181,-9.525,0.0324,129.113,0.182
0,0.981,0.605,161747,0.0673,0.00204,0.174,-19.505,0.0699,130.658,0.363
7,0.6,0.164,341000,0.402,3.41E-06,0.138,-7.704,0.0286,83.664,0.0394
0,0.688,0.582,226573,0.687,0,0.28,-6.047,0.0634,91.009,0.374
0,0.994,0.617,97867,0.135,0,0.169,-15.17,0.0359,116.375,0.545
8,0.634,0.591,153947,0.3,0,0.154,-9.339,0.0273,134.168,0.348
0,0.864,0.299,169013,0.259,0,0.31,-8.063,0.0365,170.807,0.5
0,0.899,0.192,695333,0.118,0.45,0.191,-18.111,0.038,107.432,0.0762
0,0.875,0.407,132880,0.399,0,0.158,-8.617,0.0577,77.169,0.424
0,0.737,0.382,115133,0.287,0.834,0.0644,-15.865,0.0456,79.908,0.157
0,0.672,0.839,188688,0.36,0,0.142,-10.763,0.208,129.991,0.927
0,0.74,0.702,341107,0.865,1.62E-06,0.0918,-8.158,0.065,131.434,0.961
0,0.933,0.375,295827,0.434,0.962,0.385,-13.991,0.0467,129.847,0.322
